% pa1
A a
作 zuo4,zuo1
佝 gou1,kou4
佞 ning4
佟 tong2
你 ni3
佡 xian1
佢 qu2
佣 yong1,yong4
佤 wa3
佧 ka3
佩 pei4
佪 huai2
佫 he4
佬 lao3
佯 yang2
佰 bai3
佱 fa3
佳 jia1
佴 er4
佶 ji2
佷 hen3
佸 huo2
佹 gui3
佺 quan2
佻 tiao1
佼 jiao3
佽 ci4
佾 yi4
使 shi3
侀 xing2
侁 shen1
侂 tuo1
侃 kan3
侄 zhi2
侅 gai1
来 lai2
侇 yi2
侈 chi3
侉 kua3
例 li4
侌 yin1
侍 shi4
侏 zhu1
侐 xu4
侑 you4
侔 mou2
仑 lun2
侗 dong4,tong2
侘 cha4
侚 xun4
供 gong1,gong4
侜 zhou1
依 yi1
価 jia4
侢 dai4
侮 wu3
侯 hou2
侵 qin1
侣 lv3
局 ju2
侽 nan2
便 bian4,pian2
俣 yu3
系 xi4,ji4
促 cu4
俄 e2
俅 qiu2
俉 wu2
俎 zu3
俏 qiao4
俐 li4
俑 yong3
𠇹 jing4
伣 qian4
俗 su2
俘 fu2
俚 li3
俛 mian3
俯 fu3
俜 ping1
保 bao3
俞 yu2,shu4
俟 qi2,si4
侠 xia2
信 xin4
俤 di4
修 xiu1
俱 ju4
效 xiao4
俳 pai2
俴 jian4
俵 biao3
俶 chu4
俷 fei4
俸 feng4
俺 an3
备 bei4
俾 bi3
伥 chang1
倂 bing4
倃 jiu4
倅 cui4
俩 lia3
仓 cang1
个 ge4
倌 guan1
倍 bei4
倏 shu1
们 men5
倒 dao4,dao3
倓 tan2
倔 jue2
幸 xing4
倘 tang3,chang2
候 hou4
倚 yi3
倜 ti4
倝 gan4
倞 jing4,liang4
借 jie4
倡 chang4
倢 jie2
値 zhi2
倥 kong1,kong3
倦 juan4
倨 ju4
倩 qian4
倪 ni2
伦 lun2
倬 zhuo1
倭 wo1
倮 luo3
倵 wu3
倶 ju4
倷 nai3
睬 cai3
倹 jian3
倻 ye1
值 zhi2
倽 sha2
偁 cheng1
偃 yan3
假 jia3,gei1,jia4
偈 ji4,jie2
伟 wei3
偌 ruo4
偎 wei1
偏 pian1
偓 wo4
偕 xie2
做 zuo4
停 ting2
偝 bei4
偟 huang2
偢 chou3
健 jian4
偨 ci1
偩 fu4
逼 bi1
偫 zhi4
偭 mian3
偯 yi3
偰 xie4
偱 xun2
偲 si1
侧 ce4,zhai1
侦 zhen1
偶 ou3
偷 tou1
偸 tou1
咱 zan2,za2
伪 wei3
傀 gui1,kui3
傅 fu4
傈 li4
㐷 ma4
傍 bang4
傎 dian1
杰 jie2
傒 xi1
傓 shan1
傔 qian4
傕 jue2
伧 cang1
伞 san3
傜 yao2
傞 suo1
家 jia1
傣 dai3
催 cui1
傮 zao1
偬 zong3
傲 ao4
传 chuan2,zhuan4
伛 yu3
债 zhai4
伤 shang1
傺 chi4
傻 sha3
倾 qing1
傿 yan4,yan1
偻 lou2,lv3
僃 bei4
僄 piao4
仅 jin3
僇 lu4
佥 qian1
働 xx5
僎 zhuan4
像 xiang4
侨 qiao2
僔 zun3
僖 xi1
僚 liao2
僜 deng4
僝 chan2
僣 jian4
𫢸 dan4
侥 jiao3
僦 jiu4
僧 seng1
偾 fen4
僩 xian4
僬 jiao1
僭 jian4
僮 tong2,zhuang4
僯 lin3
僰 bo2
雇 gu4
僳 su4
僴 xian4
僵 jiang1
价 jia4,jie5
僻 pi4
僾 ai4
僿 sai4
仪 yi2
侬 nong2
儃 chan2
亿 yi4
儅 dang1
儆 jing3
儇 xuan1
侩 kuai4
俭 jian3
儊 chu4
儋 dan1
儌 jiao3
儍 sha3
傤 zai4
傧 bin1
儒 ru2
儓 tai2
俦 chou2
侪 chai2
拟 ni3
尽 jin3,jin4
儜 ning2
儞 ni3
偿 chang2
儡 lei3
儤 bao4
儦 biao1
儩 si4
优 you1
儭 chen4
儱 long3
储 chu3
儳 chan4
俪 li4
㑩 luo2
儹 zan3
傩 nuo2
傥 tang3
俨 yan3
儽 lei3
儿 er2,ren2,r5
兀 wu4
允 yun3
元 yuan2
兄 xiong1
充 chong1
兆 zhao4
凶 xiong1
先 xian1
光 guang1
克 ke4,kei1
兑 dui4
免 mian3,wen4
兔 tu4
児 er2
兕 si4
兖 yan3
兘 shi3
兙 shi2,ke4
兛 qian1,ke4
兜 dou1
兝 fen1,ke4
兞 hao2,ke4
兟 shen1
兡 bai3,ke4
兢 jing1
兣 li2,ke4
入 ru4
内 nei4
全 quan2
两 liang3
兪 yu2
八 ba1
公 gong1
六 liu4
兮 xi1
共 gong4
兲 tian1
兵 bing1
其 qi2
具 ju4
典 dian3
兼 jian1
冀 ji4
冂 jiong1
冃 mao4
冉 ran3
円 yuan2
冇 mao3
册 ce4
冋 jiong1
再 zai4
冏 jiong3
冒 mao4
冑 zhou4
冓 gou4
冔 xu3
冕 mian3
冖 mi4
冗 rong3
冘 yin2
冞 mi2
冠 guan1,guan4
冡 meng2
冢 zhong3
冣 ju4
冤 yuan1
冧 lin2
幂 mi4
冫 bing1
冬 dong1
冰 bing1
冱 hu4
冶 ye3
冷 leng3
泯 min3
冼 xian3
冽 lie4
凃 tu2
凄 qi1
凅 gu4
准 zhun3
凇 song1
净 jing4
凊 jing4
凋 diao1
凌 ling2
冻 dong4
凓 li4
凔 cang1
凛 lin3
凝 ning2
凞 xi1
凟 du2
几 ji3,ji1
凡 fan2
凥 ju1
処 chu3
凮 feng1
凰 huang2
凯 kai3
凳 deng4
凭 ping2
凵 kan3
凸 tu1
凹 ao1,wa1
出 chu1
凼 dang4
函 han2
刀 dao1
刁 diao1
刂 dao1
刃 ren4
分 fen1,fen4
切 qie4,qie1
刈 yi4
刊 kan1
刌 cun3
刎 wen3
刑 xing2
划 hua4,hua2
